Merkmal;Auspraegung;Beschreibung;Hinweis;erge;erg;unk
Baumarten  (Baumartengruppe 'Weichlaubholz');sonstiges Weichlaubholz SLBW;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Weichlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0;Keine;2
Baumarten  (Baumartengruppe 'Weichlaubholz');Sorbusarten SOR;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Weichlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0,5;Keine;1
Baumarten  (Baumartengruppe 'Weichlaubholz');Weide (spec.) WEI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Weichlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-1;Keine;1
Baumartenmischung;Mischungsart: Mischbestand;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Baumartenmischung;Mischungsart: Reinbestand;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Baumartenmischung;Mischungsform:  gruppenweise;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Baumartenmischung;Mischungsform:  horstweise;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Baumartenmischung;Mischungsform:  reihen- oder streifenweise;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;0;Keine;0
Baumartenmischung;Mischungsform: baumweise;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Baumartenmischung;Mischungsform: truppweise;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;Gibt es allgemeine Anmerkungen zur Baumartenmischung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Bestandesschichtung;einschichtig;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;Gibt es allgemeine Anmerkungen zur Bestandesschichtung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Bestandesschichtung;mehrschichtig;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;Gibt es allgemeine Anmerkungen zur Bestandesschichtung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Bestandesschichtung;zweischichtig;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;Gibt es allgemeine Anmerkungen zur Bestandesschichtung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Bestandesschichtung;plenterartig;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;Gibt es allgemeine Anmerkungen zur Bestandesschichtung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;2;Keine;0
Kronenschlussgrad;gedrängt;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Kronenschlussgrad;geschlossen;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;0;Keine;0
Kronenschlussgrad;licht;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;0;Keine;0
Kronenschlussgrad;locker;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1;Keine;0
Kronenschlussgrad;lückig;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;0;Keine;0
Kronenschlussgrad;räumdig;Einschätzung über Bestandesschluss;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Kronenschlussgrad;stark differenziert;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen zum Kronenschluss, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;1,5;Keine;1
Verjüngung;nicht waldbaulich verwendbar;Verjüngung im Bestand vorhanden oder geplant;Gibt es allgemeine Anmerkungen zur Verjüngung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-1;Keine;0
Verjüngung;Verjüngung nicht vorhanden;Verjüngung im Bestand vorhanden oder geplant;Gibt es allgemeine Anmerkungen zur Verjüngung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-1;Keine;0
Verjüngung;waldbaulich verwendbar;Verjüngung im Bestand vorhanden oder geplant;Gibt es allgemeine Anmerkungen zur Verjüngung, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;2;Keine;0
Stammeigenschaften;Abholzigkeit;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Astigkeit;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Auswuchs;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Beulen;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;1
Stammeigenschaften;Drehwuchs;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-1,5;Keine;1
Stammeigenschaften;einfache Krümmung;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Instektenfraßgänge (im Holz);Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Klebäste;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Rindenschäden;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Risse;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Stammtrockenheit;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-1,5;Keine;1
Stammeigenschaften;T-Flecken/T-Krebs (und andere Nekrosen);Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
Stammeigenschaften;Wassereiser;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.;-2;Keine;0
