Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform: truppweise;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  gruppenweise;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  horstweise;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Baumartenmischung;Art der Mischung und Form der Einmischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;;Mischungsform:  reihen- oder streifenweise;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Bestandesschichtung;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;;einschichtig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Bestandesschichtung;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;;zweischichtig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Bestandesschichtung;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;;mehrschichtig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Bestandesschichtung;Vertikaler Aufbau eines Bestandes in eine oder mehrere Bestandesschichten.;;plenterartig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;gedrängt;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;geschlossen;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;locker;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;licht;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;räumdig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;lückig;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Kronenschlussgrad;Einschätzung über Bestandesschluss;;stark differenziert;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Verjüngung;Verjüngung im Bestand vorhanden oder geplant;;Verjüngung nicht vorhanden;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Verjüngung;Verjüngung im Bestand vorhanden oder geplant;;waldbaulich verwendbar;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Verjüngung;Verjüngung im Bestand vorhanden oder geplant;;nicht waldbaulich verwendbar;;Gibt es allgemeine Anmerkungen dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Abholzigkeit;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Astigkeit;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Auswuchs;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Beulen;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Drehwuchs;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Instektenfraßgänge (im Holz);;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;einfache Krümmung;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Rindenschäden;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Risse;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Stammtrockenheit;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;T-Flecken/T-Krebs (und andere Nekrosen);;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Wassereiser;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
Stammeigenschaften;Primärmerkmale für die Sortierung von Stammholz zur Einschätzung der Bestandesqualität, am stehenden Stamm sichtbar;;Klebäste;;Gibt es allgemeine Anmerkungen oder weitere Merkmale, welche am stehenden Stamm zur Einschätzung der Stammqualität geeignet sind, dann ergänzen Sie diese bitte einfach im Feld 'Ihre Anmerkungen'.
